Rank,,Location,Remodeling Gross Sales 2024,Remodeling Jobs,Gross Revenue 2024,Remodeling Segment Focus,No. of Employees,Qualified Remodeler Link
1,BELFOR Holdings Inc.,"Birmingham, Michigan","$2,489,050,000","318,882","$2,677,470,000",Insurance Restoration,4989,https://www.qualifiedremodeler.com/firm/belfor-holdings-inc/?y=2025
2,Leaf Home,"Hudson, Ohio","$1,767,816,000","345,680","$1,767,816,000",Replacement | Home Improvement,4025,https://www.qualifiedremodeler.com/firm/leaf-home/?y=2025
3,Great Day Improvements LLC,"Twinsburg, Ohio","$1,636,850,640","89,065","$1,636,850,640",Replacement | Home Improvement,4600,https://www.qualifiedremodeler.com/firm/great-day-improvements-llc/?y=2025
4,Power Home Remodeling,"Chester, Pennsylvania","$1,453,882,796","81,595","$1,453,882,796",Full-Service,4087,https://www.qualifiedremodeler.com/firm/power-home-remodeling/?y=2025
5,West Shore Home,"Mechanicsburg, Pennsylvania","$1,222,300,668","76,288","$1,222,300,668",Replacement | Home Improvement,3127,https://www.qualifiedremodeler.com/firm/west-shore-home/?y=2025
6,Groundworks,"Virginia Beach, Virginia","$1,154,774,262","120,344","$1,196,669,149",Replacement | Home Improvement,5506,https://www.qualifiedremodeler.com/firm/groundworks/?y=2025
7,Window World,"North Wilkesboro, North Carolina","$1,149,703,491","155,887","$1,149,703,491",Replacement | Home Improvement,—,https://www.qualifiedremodeler.com/firm/window-world-inc/?y=2025
8,Erie Home,"Toledo, Ohio","$609,124,170","25,000","$609,124,170",Replacement | Home Improvement,1583,https://www.qualifiedremodeler.com/firm/erie-home/?y=2025
9,Infinity Home Services,"Brookfield, Wisconsin","$500,019,000","44,066","$500,019,000",Replacement | Home Improvement,1021,https://www.qualifiedremodeler.com/firm/infinity-home-services/?y=2025
10,Re-Bath,"Phoenix, Arizona","$494,074,272","27,794","$494,074,272",Kitchen & Bath Design Remodeling,129,https://www.qualifiedremodeler.com/firm/re-bath-llc/?y=2025
11,Mad City Windows & Baths,"Madison, Wisconsin","$478,103,862","30,142","$478,103,862",not disclosed by company,1138,https://www.qualifiedremodeler.com/firm/mad-city-windows-baths/?y=2025
12,Window Nation,"Fulton, Maryland","$455,153,807","32,383","$455,153,807",Replacement | Home Improvement,922,https://www.qualifiedremodeler.com/firm/window-nation/?y=2025
13,Renovo Home Partners,"Dallas, Texas","$449,183,000","22,663","$449,183,000",Replacement | Home Improvement,1671,https://www.qualifiedremodeler.com/firm/renovo-home-partners/?y=2025
14,Stronghouse Solutions,"Oak Brook, Illinois","$352,202,000","12,807","$352,202,000",Insurance Restoration,265,https://www.qualifiedremodeler.com/firm/stronghouse-solutions/?y=2025
15,ATI Restoration,"Anaheim, California","$327,417,176","12,129","$648,572,255",Insurance Restoration,2102,https://www.qualifiedremodeler.com/firm/ati-restoration-llc/?y=2025
16,Omnia Exterior Solutions,"Trophy Club, Texas","$312,205,637","15,542","$312,223,596",Replacement | Home Improvement,750,https://www.qualifiedremodeler.com/firm/omnia-exterior-solutions/?y=2025
17,RAFTRx,"Duluth, Georgia","$221,583,220","8,112","$221,583,220",Insurance Restoration,85,https://www.qualifiedremodeler.com/firm/raftrx/?y=2025
18,FHIA Remodeling,"Fort Lauderdale, Florida","$214,235,999","10,303","$214,235,999",not disclosed by company,502,https://www.qualifiedremodeler.com/firm/fhia-holdings-llc/?y=2025
19,Statewide Remodeling,"Grapevine, Texas","$208,285,525","12,453","$208,285,525",not disclosed by company,12453,https://www.qualifiedremodeler.com/firm/statewide-remodeling/?y=2025
20,Florida Window and Door,"Lake Worth, Florida","$180,100,460","5,640","$180,100,460",Replacement | Home Improvement,350,https://www.qualifiedremodeler.com/firm/florida-window-and-door/?y=2025
21,Home Genius Exteriors,"Hyattsville, Maryland","$168,673,629","9,638","$168,673,629",Replacement | Home Improvement,295,https://www.qualifiedremodeler.com/firm/home-genius-exteriors/?y=2025
22,Window Depot USA,"Columbiana, Ohio","$166,813,263","18,535","$166,813,263",Replacement | Home Improvement,392,https://www.qualifiedremodeler.com/firm/window-depot-usa/?y=2025
23,HorsePower Brands,"Omaha, Nebraska","$162,093,494","16,770","$227,643,775",Replacement | Home Improvement,150,https://www.qualifiedremodeler.com/firm/horsepower-brands/?y=2025
24,TSR Concrete Coatings LLC dba Revamp Companies,"Freeport, Illinois","$160,068,015","23,946","$160,068,015",Replacement | Home Improvement,750,https://www.qualifiedremodeler.com/firm/tsr-concrete-coatings-llc-dba-revamp-companies/?y=2025
25,1-800-Hansons LLC,"Troy, Michigan","$155,566,629","13,043","$155,566,629",Replacement | Home Improvement,200,https://www.qualifiedremodeler.com/firm/1-800-hansons-llc/?y=2025
26,P.J. Fitzpatrick LLC,"New Castle, Delaware","$149,830,723","9,723","$149,830,723",Replacement | Home Improvement,577,https://www.qualifiedremodeler.com/firm/pj-fitzpatrick-llc/?y=2025
27,SageHome LLC,"Indianapolis, Indiana","$143,722,342","8,212","$143,722,342",Kitchen & Bath Design Remodeling,289,https://www.qualifiedremodeler.com/firm/sagehome-llc/?y=2025
28,Window World of Baton Rouge LLC,"Baton Rouge, Louisiana","$124,290,670","14,889","$124,290,670",Replacement | Home Improvement,197,https://www.qualifiedremodeler.com/firm/window-world-of-baton-rouge-llc/?y=2025
29,SilverLining Inc.,"New York, New York","$122,292,013",65,"$122,292,013",Full-Service,267,https://www.qualifiedremodeler.com/firm/silverlining-inc/?y=2025
30,Thompson Creek Window Company,"Lanham, Maryland","$118,858,365","8,177","$118,858,365",Replacement | Home Improvement,299,https://www.qualifiedremodeler.com/firm/thompson-creek-window-company/?y=2025
31,WindowRama,"Edgewood, New York","$111,505,000","1,478","$111,505,000",Replacement | Home Improvement,185,https://www.qualifiedremodeler.com/firm/windowrama/?y=2025
32,Express Flooring,"Phoenix, Arizona","$103,736,329","12,204","$103,736,329",Replacement | Home Improvement,100,https://www.qualifiedremodeler.com/firm/express-flooring/?y=2025
33,Windows USA LLC,"Royal, Arkansas","$100,762,227","7,649","$100,762,227",Replacement | Home Improvement,263,https://www.qualifiedremodeler.com/firm/windows-usa-llc/?y=2025
34,Refloor LLC,"Troy, Michigan","$95,422,602","11,451","$95,422,602",Replacement | Home Improvement,352,https://www.qualifiedremodeler.com/firm/refloor/?y=2025
35,Comfort Windows Co Inc.,"Syracuse, New York","$93,799,218","7,586","$94,999,700",Replacement | Home Improvement,405,https://www.qualifiedremodeler.com/firm/comfort-window-co-inc-comfort-windows-doors/?y=2025
36,Archadeck Outdoor Living,"Glen Allen, Virginia","$93,006,701","2,066","$90,651,965",Replacement | Home Improvement,220,https://www.qualifiedremodeler.com/firm/archadeck-outdoor-living/?y=2025
37,RF Installations LLC,"Grand Prairie, Texas","$91,484,109","196,391","$91,484,109",Replacement | Home Improvement,108,https://www.qualifiedremodeler.com/firm/rf-installations-llc/?y=2025
38,Lifetime Home Remodeling,"Denver, Colorado","$90,390,897","3,302","$90,426,960",Replacement | Home Improvement,277,https://www.qualifiedremodeler.com/firm/lifetime-windows-and-siding/?y=2025
39,Premier Home Pros,"Akron, Ohio","$85,808,406","5,258","$85,808,406",Replacement | Home Improvement,110,https://www.qualifiedremodeler.com/firm/premier-home-pros/?y=2025
40,Performance Windows,"Pleasant Grove, Utah","$82,229,041","3,407","$82,229,041",Replacement | Home Improvement,195,https://www.qualifiedremodeler.com/firm/performance-windows/?y=2025
41,Reece Windows & Doors,"St.Petersburg, Florida","$82,127,961","3,592","$82,127,961",Replacement | Home Improvement,150,https://www.qualifiedremodeler.com/firm/reece-windows-and-doors/?y=2025
42,Victory Home Remodeling,"Holmdel, New Jersey","$80,592,000","3,400","$80,592,000",Replacement | Home Improvement,257,https://www.qualifiedremodeler.com/firm/victory-home-remodeling/?y=2025
43,Matrix Home Solutions,"Arlington Heights, Illinois","$80,000,091","1,601","$80,000,091",Design-Build,190,https://www.qualifiedremodeler.com/firm/matrix-home-solutions/?y=2025
44,Ecoview America LLC,"Bay Minette, Alabama","$78,872,380","10,955","$78,872,380",Replacement | Home Improvement,384,https://www.qualifiedremodeler.com/firm/ecoview-america-llc/?y=2025
45,ABC Seamless Corporate,"Lincoln, Nebraska","$77,154,906","7,564","$79,791,617",Replacement | Home Improvement,2500,https://www.qualifiedremodeler.com/firm/abc-seamless-corporate/?y=2025
46,Weatherguard Roofing LLC,"Charlotte, North Carolina","$76,970,961","3,188","$76,970,961",Insurance Restoration,335,https://www.qualifiedremodeler.com/firm/weatherguard-roofing/?y=2025
47,"Window World of Huntsville / Shoals, Window World of North Atlanta, Window World of Central Alabama","Kennesaw, Georgia","$71,090,982","8,832","$71,090,982",Replacement | Home Improvement,118,https://www.qualifiedremodeler.com/firm/window-world-of-huntsville-shoals-window-world-of-north-atlanta-window-world-of-central-alabama/?y=2025
48,Homefix,"Laurel, Maryland","$68,976,887","2,264","$68,976,887",Replacement | Home Improvement,325,https://www.qualifiedremodeler.com/firm/homefix-custom-remodeling/?y=2025
49,Capital Construction,"Canton, Massachusetts","$67,287,935","2,591","$67,287,935",Replacement | Home Improvement,131,https://www.qualifiedremodeler.com/firm/capital-construction/?y=2025
50,Midtown Home Improvements,"Wentzville, Missouri","$63,731,835","2,896","$63,731,835",Full-Service,238,https://www.qualifiedremodeler.com/firm/midtown-home-improvements/?y=2025
51,MLM Home Improvement,"Gaithersburg, Maryland","$60,959,967","4,517","$60,959,967",Replacement | Home Improvement,220,https://www.qualifiedremodeler.com/firm/mlm-home-improvement/?y=2025
52,Airoom LLC,"Lincolnwood, Illinois","$60,150,000",192,"$60,150,000",Design-Build,90,https://www.qualifiedremodeler.com/firm/the-airoom-companies/?y=2025
53,DreamMaker Bath & Kitchen,"Waco, Texas","$59,316,458","1,232","$59,316,458",Kitchen & Bath Design Remodeling,22,https://www.qualifiedremodeler.com/firm/dreammaker-bath-and-kitchen/?y=2025
54,WinChoice USA,"Mountain Pine, Arkansas","$59,064,561","4,162","$59,064,561",Replacement | Home Improvement,250,https://www.qualifiedremodeler.com/firm/winchoice-usa/?y=2025
55,American Vision Windows Inc.,"Simi Valley, California","$58,483,384","3,923","$58,734,757",Replacement | Home Improvement,218,https://www.qualifiedremodeler.com/firm/american-vision-windows-inc/?y=2025
56,Zintex LLC,"Lewisville, Texas","$57,971,942","3,798","$57,971,942",Replacement | Home Improvement,256,https://www.qualifiedremodeler.com/firm/zintex-remodeling-group/?y=2025
57,Weather Tite Windows,"Tampa, Florida","$55,763,357","1,922","$55,763,357",Replacement | Home Improvement,55,https://www.qualifiedremodeler.com/firm/weather-tite-windows/?y=2025
58,BOWA,"McLean, Virginia","$53,016,196",51,"$53,016,196",Full-Service,82,https://www.qualifiedremodeler.com/firm/bowa/?y=2025
59,"Castle, The Window People","Mount Laurel, New Jersey","$52,983,064","5,351","$52,983,064",Replacement | Home Improvement,390,https://www.qualifiedremodeler.com/firm/castle-the-window-people/?y=2025
60,Stellar Roofing Inc.,"Rochester, New York","$50,803,179","2,701","$50,803,179",Replacement | Home Improvement,110,https://www.qualifiedremodeler.com/firm/stellar-roofing-inc/?y=2025
61,American Home Design,"Goodlettsville, Tennessee","$48,533,036","3,010","$48,533,036",Replacement | Home Improvement,170,https://www.qualifiedremodeler.com/firm/american-home-design-inc/?y=2025
62,Case Design/Remodeling Inc.,"Bethesda, Maryland","$43,568,734",809,"$43,568,734",Design-Build,133,https://www.qualifiedremodeler.com/firm/case-design-remodeling-inc/?y=2025
63,Rome Bath Remodeling,"Forty Fort, Pennsylvania","$43,296,676","2,789","$43,296,676",Replacement | Home Improvement,144,https://www.qualifiedremodeler.com/firm/rome-bath-remodeling/?y=2025
64,Bath Experts,"Indianapolis, Indiana","$43,125,014","2,527","$43,125,014",Kitchen & Bath Design Remodeling,150,https://www.qualifiedremodeler.com/firm/bath-experts/?y=2025
65,Lindus Construction,"Baldwin, Wisconsin","$42,060,135","3,786","$42,060,135",Full-Service,129,https://www.qualifiedremodeler.com/firm/lindus-construction/?y=2025
66,BILT Exteriors,"Spring Lake Park, Minnesota","$41,378,190","1,227","$41,378,190",Replacement | Home Improvement,26,https://www.qualifiedremodeler.com/firm/bilt-exteriors/?y=2025
67,Presidential Exteriors,"Rockville, Maryland","$40,652,356","2,830","$40,652,356",Replacement | Home Improvement,185,https://www.qualifiedremodeler.com/firm/presidential-exteriors/?y=2025
68,Design Pro Remodeling,"Fairfax, Virginia","$40,600,279","2,088","$40,600,279",Full-Service,62,https://www.qualifiedremodeler.com/firm/design-pro-remodeling/?y=2025
69,White Oaks Aligned LLC,"Hoboken, New Jersey","$38,908,864","1,432","$38,908,864",Full-Service,60,https://www.qualifiedremodeler.com/firm/white-oaks-aligned-llc/?y=2025
70,Allied Remodeling of Central Maryland,"Towson, Maryland","$38,227,600","3,765","$38,227,600",Replacement | Home Improvement,30,https://www.qualifiedremodeler.com/firm/allied-remodeling-of-central-maryland/?y=2025
71,Greater Dayton Construction,"Dayton, Ohio","$38,029,440",729,"$46,018,774",Full-Service,71,https://www.qualifiedremodeler.com/firm/greater-dayton-construction/?y=2025
72,Neil Kelly Company,"Portland, Oregon","$37,299,662",839,"$43,419,329",Design-Build,164,https://www.qualifiedremodeler.com/firm/neil-kelly-company/?y=2025
73,Window World of St. Louis Inc.,"Earth City, Missouri","$37,065,757","6,089","$37,065,757",Replacement | Home Improvement,48,https://www.qualifiedremodeler.com/firm/window-world-of-st-louis/?y=2025
74,CAT Exteriors Inc.,"Sacramento, California","$36,025,558","1,807","$36,025,558",Replacement | Home Improvement,35,https://www.qualifiedremodeler.com/firm/cat-exteriors-inc/?y=2025
75,American Water Damage,"Arlington, Texas","$35,886,697","6,283","$68,787,455",Insurance Restoration,250,https://www.qualifiedremodeler.com/firm/american-water-damage/?y=2025
76,Normandy Remodeling,"Hinsdale, Illinois","$35,884,593",176,"$35,884,593",Design-Build,78,https://www.qualifiedremodeler.com/firm/normandy-remodeling/?y=2025
77,Pacific Exteriors LLC,"Lake Forest Park, Washington","$35,479,644","1,266","$35,479,644",Replacement | Home Improvement,55,https://www.qualifiedremodeler.com/firm/pacific-exteriors-llc/?y=2025
78,WeatherGard Window Co. Inc.,"Farmington, Michigan","$35,359,284","3,200","$35,359,284",Replacement | Home Improvement,150,https://www.qualifiedremodeler.com/firm/weathergard-window-co-inc/?y=2025
79,Statewide Windows & Doors,"Boca Raton, Florida","$35,239,260","1,372","$35,239,260",Replacement | Home Improvement,80,https://www.qualifiedremodeler.com/firm/statewide-windows-doors/?y=2025
80,G. Fedale,"Newport, Delaware","$34,825,010","2,699","$34,825,010",Replacement | Home Improvement,80,https://www.qualifiedremodeler.com/firm/g-fedale/?y=2025
81,NEXT Door and Window,"Burr Ridge, Illinois","$34,566,741","1,736","$34,566,741",Replacement | Home Improvement,114,https://www.qualifiedremodeler.com/firm/next-door-window/?y=2025
82,American Home Tech,"Florence, Kentucky","$33,892,279","3,502","$33,892,279",Replacement | Home Improvement,110,https://www.qualifiedremodeler.com/firm/american-home-tech/?y=2025
83,Direct Remodels LLC,"St. Petersburg, Florida","$33,658,464","2,070","$33,658,464",Replacement | Home Improvement,75,https://www.qualifiedremodeler.com/firm/direct-remodels/?y=2025
84,Ashco Exteriors,"Spring Lake Park, Minnesota","$33,107,556","1,031","$33,107,556",Replacement | Home Improvement,25,https://www.qualifiedremodeler.com/firm/ashco-exteriors-inc/?y=2025
85,Design Works,"Sarasota, Florida","$33,015,248",915,"$33,015,248",Full-Service,100,https://www.qualifiedremodeler.com/firm/design-works/?y=2025
86,Handyman Connection,"Blue Ash, Ohio","$32,903,323","32,167","$32,903,323",Full-Service,11,https://www.qualifiedremodeler.com/firm/handyman-connection/?y=2025
87,Priceless Home Improvements,"White Plains, Maryland","$32,857,338","1,288","$32,857,338",Insurance Restoration,27,https://www.qualifiedremodeler.com/firm/priceless-home-improvements-llc/?y=2025
88,Tailored Roofing and Remodeling Inc.,"Wichita, Kansas","$32,525,760","1,833","$32,525,760",Replacement | Home Improvement,130,https://www.qualifiedremodeler.com/firm/tailored-roofing-and-remodeling-inc/?y=2025
89,Quality Craftsmen LLC,"Marietta, Georgia","$32,260,744","1,937","$32,260,744",Kitchen & Bath Design Remodeling,77,https://www.qualifiedremodeler.com/firm/quality-craftsmen/?y=2025
90,MKD Kitchen and Bath,"Marshall, Michigan","$32,243,652","6,353","$32,243,652",Kitchen & Bath Design Remodeling,163,https://www.qualifiedremodeler.com/firm/mkd-kitchen-and-bath/?y=2025
91,Shark Coatings,"Jacksonville, Florida","$30,361,937","5,733","$30,361,937",Replacement | Home Improvement,130,https://www.qualifiedremodeler.com/firm/shark-coatings/?y=2025
92,JB West,"Michigan City, Indiana","$29,656,848","2,051","$30,978,345",Replacement | Home Improvement,53,https://www.qualifiedremodeler.com/firm/jb-west/?y=2025
93,McCoy Roofing LLC,"Omaha, Nebraska","$28,983,977","1,445","$28,983,977",Insurance Restoration,7,https://www.qualifiedremodeler.com/firm/mccoy-roofing-llc/?y=2025
94,Select Home Improvements,"Anaheim, California","$27,964,511","1,553","$27,964,511",Replacement | Home Improvement,50,https://www.qualifiedremodeler.com/firm/select-home-improvements/?y=2025
95,Eldridge Roofing & Restoration Inc.,"Spring, Texas","$27,611,749",999,"$27,611,749",Replacement | Home Improvement,72,https://www.qualifiedremodeler.com/firm/eldridge-roofing-and-restoration-inc/?y=2025
96,Dream Home Roofers,"Turnersville, New Jersey","$27,527,450","1,370","$27,527,450",Replacement | Home Improvement,100,https://www.qualifiedremodeler.com/firm/dream-home-roofers/?y=2025
97,DFW Improved,"Plano, Texas","$27,225,038",505,"$27,225,038",Design-Build,37,https://www.qualifiedremodeler.com/firm/dfw-improved/?y=2025
98,Mosby Building Arts,"St. Louis, Missouri","$26,964,601",445,"$26,964,601",Full-Service,140,https://www.qualifiedremodeler.com/firm/mosby-building-arts/?y=2025
99,Paradise Exteriors LLC,"Boynton Beach, Florida","$26,923,612","1,457","$26,923,612",Replacement | Home Improvement,40,https://www.qualifiedremodeler.com/firm/paradise-exteriors-llc/?y=2025
100,Elevated Remodeling LLC,"Newark, Delaware","$26,872,821","1,537","$26,872,821",Replacement | Home Improvement,250,https://www.qualifiedremodeler.com/firm/elevated-remodeling-llc/?y=2025
101,Re-Bath of New England,"Greenville, Rhode Island","$26,684,126","1,243","$26,684,126",Replacement | Home Improvement,84,https://www.qualifiedremodeler.com/firm/re-bath-of-new-england-2/?y=2025
102,"EFM Interests (dba Re-Bath Houston, S. Louisiana, Central/East Texas)","Houston, Texas","$26,184,391","1,236","$26,184,391",Kitchen & Bath Design Remodeling,134,https://www.qualifiedremodeler.com/firm/efm-interests-re-bath-houston-east-texas-and-southern-louisiana/?y=2025
103,Green Star Exteriors,"Holmes, PA, Pennsylvania","$26,178,509","1,805","$26,178,509",Replacement | Home Improvement,136,https://www.qualifiedremodeler.com/firm/green-star-exteriors/?y=2025
104,Attic Projects LLC,"San Diego, California","$26,158,287","2,747","$26,158,287",Replacement | Home Improvement,171,https://www.qualifiedremodeler.com/firm/attic-projects-llc/?y=2025
105,Brothers Services Company,"Hampstead, Maryland","$26,016,812","2,338","$26,016,812",Replacement | Home Improvement,118,https://www.qualifiedremodeler.com/firm/brothers-services-company/?y=2025
106,Northwest Exteriors Inc.,"Rancho Corodva, California","$25,710,807","2,007","$25,710,807",Replacement | Home Improvement,125,https://www.qualifiedremodeler.com/firm/northwest-exteriors-inc/?y=2025
107,Pro Restoration LLC,"Machesney Park, Illinois","$25,259,422",918,"$25,259,422",Insurance Restoration,68,https://www.qualifiedremodeler.com/firm/pro-restoration-llc/?y=2025
108,F. H. Perry Builder,"Hopkinton, Massachusetts","$25,216,957",50,"$25,216,957",Full-Service,26,https://www.qualifiedremodeler.com/firm/fh-perry-builder/?y=2025
109,Gilkey Windows,"Cincinnati, Ohio","$24,828,039","1,822","$26,128,463",Replacement | Home Improvement,150,https://www.qualifiedremodeler.com/firm/the-gilkey-window-company/?y=2025
110,Makabad Corp dba ADH Group,"Corona, New York","$24,736,428","1,216","$24,736,428",Replacement | Home Improvement,83,https://www.qualifiedremodeler.com/firm/makabad-corp/?y=2025
111,Apex General Contracting,"South Beloit, Illinois","$24,650,458",620,"$24,650,458",Insurance Restoration,40,https://www.qualifiedremodeler.com/firm/apex-general-contracting/?y=2025
112,K & P Remodeling Inc.,"Knoxville, Tennessee","$24,621,854","1,407","$24,621,854",Replacement | Home Improvement,82,https://www.qualifiedremodeler.com/firm/k-p-remodeling-inc/?y=2025
113,F & S Building Innovations Inc.,"Roanoke, Virginia","$24,184,956",600,"$25,540,215",Full-Service,74,https://www.qualifiedremodeler.com/firm/f-and-s-building-innovations-inc/?y=2025
114,T&S Roofing Systems,"Miami, Florida","$23,984,494","1,217","$23,984,494",Replacement | Home Improvement,75,https://www.qualifiedremodeler.com/firm/tands-roofing-systems/?y=2025
115,Window world of Phoenix LLC,"Phoenix, Arizona","$23,902,020","2,953","$23,902,020",Replacement | Home Improvement,7,https://www.qualifiedremodeler.com/firm/window-world-of-phoenix-llc/?y=2025
116,Southern National Roofing,"Charlotte, North Carolina","$23,714,622","1,058","$23,714,622",Replacement | Home Improvement,125,https://www.qualifiedremodeler.com/firm/southern-national/?y=2025
117,Frontier Foundation & Crawl Space Repair,"Joelton, Tennessee","$23,566,203","2,642","$23,566,203",Replacement | Home Improvement,111,https://www.qualifiedremodeler.com/firm/frontier-basement-systems/?y=2025
118,Centurion Exteriors,"Fort Wayne, Indiana","$23,468,024","1,359","$23,468,024",Replacement | Home Improvement,38,https://www.qualifiedremodeler.com/firm/centurion-exteriors/?y=2025
119,"S & K Roofing, Siding and Windows Inc.","Eldersburg, Maryland","$23,426,699","3,403","$26,133,577",Replacement | Home Improvement,32,https://www.qualifiedremodeler.com/firm/s-and-k-roofing-siding-and-windows-inc/?y=2025
120,American Design and Build,"Bel Air, Maryland","$23,412,178",760,"$23,412,178",Replacement | Home Improvement,94,https://www.qualifiedremodeler.com/firm/american-design-and-build-ltd/?y=2025
121,Durante Home Exteriors,"Trussville, Alabama","$23,267,774","1,180","$23,267,774",Replacement | Home Improvement,—,https://www.qualifiedremodeler.com/firm/durante-home-exteriors/?y=2025
