Rank,Trade,Research Depth,Owner Override,Ph2 Total,Ph3 Total (Corrected),Score Delta,Ph2 Big4,Ph3 Big4 (Corrected),Big4 Delta,Competition (wt10),Job Size (wt9),Differentiation (wt8),Margin (wt8),Install Time (wt7),Post-Sale Risk (wt7),Labor Skill (wt6),Sales Cycle (wt5),Financing (wt5),Crew Size (wt4),Demand Tailwind (wt4),Permits (wt3),Upsell (wt3),Supply Chain (wt2),Seasonality (wt1),Avg Job Size ($),Competitor Count on Wasatch Front,Any Franchise Using In-Home Model?,Utah License Required,Key Strength,Key Weakness,Bundling Potential,In-Home-Sales Model Fit,Utah-Specific Factor
1,Epoxy & Polyaspartic Garage Flooring,Full Research,No,345,315,-30,138,120,-18,3,2,4,5,5,4,4,5,2,5,4,5,3,4,5,"$2K-$5.5K avg (2-car garage)","8-10 (GarageExperts, Garage Force, Hello Garage + 5 locals)",Yes - GarageExperts & Garage Force use free on-site estimates,S300 General Painting (no experience req),Best operational trade: 60% margins; 1-day polyaspartic cure; 2-person crew; lowest licensing barrier of any trade,"Fatal standalone ticket: $2K-$5.5K cannot support in-home-selling cost structure (commissions + marketing + overhead)",EXCELLENT — Core of Total Garage bundle; adds $3K-$6K to any garage package,"Poor standalone (ticket too small), EXCELLENT as bundle component","Utah's large garages (many 3-car), road salt creates floor demand, year-round in garage"
2,Garage Organization & Storage Systems,Full Research,No,333,311,-22,120,110,-10,2,2,4,5,4,5,4,5,2,5,4,5,5,4,5,"$1.5K-$5K standalone; $7K-$15K full makeover","8+ (PremierGarage, GarageExperts, Garage Kings + 5 locals)",Yes - PremierGarage & GarageExperts use design consultation model,"S220 Carpentry or S221 Cabinet Install (no experience req); add S300 if bundling floor",Best upsell progression of any trade: slatwall→cabinets→overhead→workbench→floor coating; 55%+ margins; year-round,"Standalone $1.5K-$5K too small; 3+ national franchises (PremierGarage #1 leader in garage org, 75K+ installs)",EXCELLENT — Natural partner to epoxy; together create $8K-$15K+ packages with best ops profile,"Poor standalone, EXCELLENT as bundle component — proven by franchises already doing this",Utah's outdoor recreation gear + large families = garage clutter problem; org market growing 7.4% CAGR
3,Closet Organization Systems,Full Research,No,333,294,-39,120,94,-26,2,2,3,4,5,5,4,4,2,5,4,5,4,4,5,"$2K-$7.5K avg; walk-in $4.5K-$15K","8-10 (California Closets, Closets by Design, Tailored Closet, Closet Factory, Inspired Closets + locals)","YES — 5+ national franchises all use in-home design consultation model (Closets by Design since 1982)","S220 Carpentry or S221 Cabinet Install (no experience req)",1-day installs; 40-50% margins on accessories; year-round indoor work; no permits; 1-2 person crews,"Most franchise-saturated in-home-sales trade found: 5+ nationals all running the exact appointment→consultation→close model. Avg ticket $2K-$7.5K",MODERATE — Could bundle with garage org for whole-home organization but franchises dominate this entire category,"POOR — you'd be entering the most crowded in-home-sales market on the Wasatch Front, competing against 5+ franchises with decades of brand equity","Large Utah homes with walk-in masters; Marie Kondo trend persistent; 38% of storage solutions focus on closets"
4,Outdoor Lighting,Full Research,No,306,290,-16,122,102,-20,2,2,3,5,5,4,4,4,1,5,4,5,4,5,3,"$3.5K avg; $2K-$6K range; high-end $10K+","6-8 (Outdoor Lighting Perspectives, NiteLites, JellyFish, Trimlight + 4 locals)","YES — OLP invented the category; NiteLites franchise; JellyFish permanent lighting franchise",None for low-voltage (<30V); very low barrier,Exceptional 58%+ gross margins; fast 1-2 day installs; no permits; 1-2 person crews; 15% annual market growth,"Franchise-saturated: OLP invented in-home lighting design, NiteLites since 1992, JellyFish 100s of locations. Avg $3.5K ticket far too small for model",LOW — Standalone trade that doesn't bundle naturally with interior services,"POOR — tiny tickets ($3.5K) can't fund appointment-setter + consultant + close overhead, and franchise brands own the space",Utah's large lots and outdoor living culture; LED tech making landscape lighting more accessible; cold winters limit install to 9 months
5,Shower-to-Walk-in Conversion,Full Research,No,311,289,-22,119,101,-18,1,3,3,5,5,3,3,5,5,4,4,3,4,3,5,"$8K-$12K avg through franchises; basic $3K-$8K","7-8 (Re-Bath, Bath Fitter, West Shore Home, KOHLER/Renuity, Five Star Bath, One Day Bath, Bathcrest, Lifespan)","YES — 6+ national franchises ALL running exact appointment→consultation→one-call-close model",Plumbing sub (P200) required; R100 GC or specialty license,"50%+ gross margins (Re-Bath FDD: 51.3%); proven 1-day install; proven financing model ($8K-$20K); strong aging-in-place tailwind","Most competed in-home-sales trade in Utah — 6+ national franchise competitors with massive ad budgets running your exact model. Competition score of 1 (worst possible)",LOW — Standalone bath trade; doesn't bundle with other services,"TERRIBLE — entering Re-Bath, Bath Fitter, and West Shore Home's turf with no brand equity, no supply chain, and no franchise support","Aging 65+ population grew 53% in decade; 1970s-1990s housing stock needs bath updates; but franchises already capture this demand"
6,Faux Painting & Decorative Finishes,Full Research,No,311,286,-25,148,140,-8,5,2,5,4,3,4,1,4,1,5,3,5,2,4,5,"$2K-$6K typical; Venetian plaster $3K-$6K per room; whole-house up to $15K","3-5 (Happy Valley Painting, Sweeney, Urban Painting Co — all offer as side service)",No — zero competitors use in-home-selling model; no franchise presence,"None for painting; DOPL registration for work >$3K","HIGHEST Big4 of ALL 27 trades (140). Zero competition with in-home model. Zero franchise presence. Venetian plaster trending on social. 45-55% margins on artisan work","Fatal labor scaling: artisan Venetian plaster takes months-to-years to master. No Utah training programs. Can't scale past 1-2 artisan crews. Avg ticket $2K-$6K too small","LOW — Artisan trade that doesn't bundle or scale. Could be a premium add-on within a decorative/design business but can't anchor a volume operation","BOUTIQUE ONLY — phenomenal unit economics (highest Big4) but structurally cannot scale to $500K-$1M Year 1 revenue because labor is the bottleneck, not demand","Venetian plaster/limewash trending heavily in Utah's luxury home market; textured wall aesthetic strong on social media"
7,Sauna Installation,Full Research,No,314,280,-34,141,123,-18,4,3,4,3,3,3,3,3,3,4,5,3,4,3,4,"$3K-$10K typical; custom $10K-$35K; premium packages could reach $12K-$18K","6-10 (Salt Lake Custom Saunas, Custom Utah Saunas, Rogue Saunas, The Home Sauna, Lifespan, Backyards of America)",No — zero competitors use in-home-selling model,"No sauna-specific license; general/specialty contractor + licensed electrician sub for 240V","Zero in-home-selling competitors on Wasatch Front. Strongest demand tailwind found: wellness/sauna market 6.4% CAGR, $200M+ by 2026. Big4 passes 122 threshold (only trade to do so besides Faux Painting)","Typical jobs $3K-$10K (below sweet spot). 35-45% margins (material-heavy). Electrical sub required. Custom builds 3-5+ days. Competition score arguable (4 or 5)","MODERATE — Sauna + cold plunge + outdoor shower = wellness transformation package $15K-$25K. Could also bundle with home gym/garage gym build","PROMISING WITH PREMIUM POSITIONING — needs to push avg ticket from $5K to $12K-$18K through design packages, smart features, turnkey electrical. Zero in-home-sales competition is a real advantage","Utah's 6+ month cold winters = natural sauna demand. Health-conscious culture. Silicon Slopes demo. Biohacking/wellness mainstream"
8,Basement Waterproofing & Crawl Space,Full Research,No,295,280,-15,130,121,-9,3,3,4,4,4,2,3,4,3,4,3,4,4,4,4,"$5K-$10K avg; crawl encapsulation $5K-$15K; interior drain $2K-$6K","7-8 (Groundworks, Davenport, BASEco, Rhino, Superior, Rocky Mtn Waterproofing, Ram Jack)",Groundworks closest to in-home-sales model but most use inspection-based selling,S310 Foundation/Excavation/Demolition license,"Fear-based urgency selling = strong close rate. 40-50% margins. Free inspection → same-visit proposal model is industry standard. Transferable lifetime warranties sell well","Post-sale warranty risk: if water returns, major liability. Lifetime warranties create long-term callback exposure. Avg job $5K-$10K below sweet spot. Utah is relatively dry","MODERATE — Pairs with basement finishing for 'dry + finish' package but different customer journey and timeline","MODERATE — urgency-selling model works, margins are decent, but $5K-$10K tickets and warranty risk make unit economics tight for in-home-selling overhead","Utah basements are universal but semi-arid climate = less acute water issues than Midwest/SE. Spring snowmelt creates seasonal demand peak"
9,Weatherization & Energy Efficiency,Full Research,No,307,278,-29,114,98,-16,4,2,2,3,5,4,3,3,2,5,4,5,3,5,4,"$3K-$8K avg; spray foam $5K-$10K; bundles up to $14K","3-5 (Elite Energy Solutions, Energy Doctors, iFOAM of Layton)",No — no national franchise uses in-home-selling model for weatherization,"S250 Insulation Contractor (25-hr course, no experience req)",Low competition: no in-home-sales franchises. Fast 1-2 day installs. Commodity materials. 2-person crews. Utility rebate programs (ThermWise) create referral pipeline,"$3K-$8K avg ticket fundamentally too small for in-home-selling. Commodity service with limited differentiation (score 2). Utility rebates compress pricing flexibility","LOW — Small tickets and commodity work don't anchor a bundle. Better as a lead-gen add-on or referral partnership with HVAC companies","POOR — ticket size and commodity nature make in-home-selling economics unworkable. Better suited to volume/efficiency model than consultative selling","Utah's extreme climate (hot summers, cold winters) creates genuine weatherization need. ThermWise rebates drive demand. 1970s-1990s housing stock often under-insulated"
10,Accent Wall Installation,Full Research,No,309,276,-33,113,97,-16,4,1,3,3,5,5,3,4,1,5,3,5,2,4,5,"$500-$2.5K per wall; multi-wall $3K-$8K","2-3 dedicated (Accent It, Lone Peak Construction); plus general painters/carpenters",No — no franchise or in-home-sales model in this niche,"S220 Carpentry or S270 Drywall/Paint (no experience req); very low barrier",Low dedicated competition. Fastest installs (4-8 hrs per wall). Zero callbacks (install-and-done). 1-2 person crew. No permits. Year-round,"Fatal ticket: $500-$2.5K per wall yields $250-$1.25K gross profit. Even multi-wall packages rarely exceed $5K-$8K. Trend-volatile (shiplap now 'outdated'). DIY kits eroding demand","HIGH AS ADD-ON — accent walls are a natural value-add within a larger interior project (closet org + accent wall, garage gym + accent wall) but cannot anchor a business","TERRIBLE standalone — sending a sales consultant to close a $1.5K wall job is economically irrational. Only viable bundled within a larger offering","Textured wall trend strong in Utah's modern farmhouse aesthetic. But shiplap/farmhouse being called outdated in 2026; shifting to mineral plaster, reeded panels"
11,Cabinet Refacing & Refinishing,Full Research,No,298,275,-23,121,103,-18,2,3,3,4,4,3,3,4,3,4,4,5,4,3,5,"$7K avg; refinishing $3K-$6K; high-end refacing $10K-$16K","5-6 (N-Hance national #1, Statewide Remodeling, WoodWorks, Accent Painting, Quality Craft)","YES — N-Hance runs exact in-home model in SLC (free in-home estimate, same-day pricing, 1-hr consultation)",S221 Cabinet/Millwork Install (25-hr course + 4000 hrs experience),"Kitchen is #1 reno priority. 40-50% margins. Fast install (2-4 days). Year-round demand. Cabinet refacing market growing 6.2% CAGR. 72% ROI recoup","N-Hance (national #1) already operates the exact in-home-selling model in SLC with same-day pricing. You'd compete against the franchise that perfected your proposed model. $7K avg below sweet spot","MODERATE — Countertops + hardware + painting bundle could push to $12K-$15K packages. Kitchen refresh positioning","POOR — N-Hance has perfected this exact model. Competing against the market leader who already owns the in-home-sales playbook is a losing proposition","Utah's 1970s-1990s oak cabinets/brass hardware era homes = strong refresh demand. Kitchen remodeling consistently top reno priority"
12,Decorative Concrete,Full Research (Triage Survivor),No,275,273,-2,129,129,0,3,3,5,4,3,2,2,4,3,3,4,4,4,4,2,"$5K-$10K avg; stamped patio $3.2K-$7.6K; driveway $6.9K-$10.4K","7-10 (SLC Concrete Co, KFM Construction 20+ yrs, Aloha, Legend, Masiva, JCR, Concrete Craft franchise)","Concrete Craft franchise exists but no dominant in-home-sales model identified",S260 Asphalt & Concrete (experience + exam required),"Strongest Big4 of any sub-290 trade (129). Best differentiation potential (score 5): stamped patterns, acid staining, colored concrete. No in-home-sales competitor identified. Good margins on decorative premium vs plain flatwork","Utah freeze-thaw = real post-sale risk (cracking, sealer wear, color loss). 7-8 month outdoor season. Avg $5K-$10K below sweet spot. Labor shortage for skilled concrete finishers","MODERATE — Patio + driveway + walkway + fire pit pad combined scope could reach $12K-$18K. Pairs with outdoor kitchen or outdoor living package","MODERATE — visual/portfolio-driven selling works well in-home (samples, before/after). But seasonality and post-sale risk in Utah climate are real constraints","Utah's Wasatch Front growth = strong driveway/patio demand. But freeze-thaw cycles are worst-case scenario for stamped concrete durability"
13,Home Accessibility Modifications,Full Research,No,292,273,-19,115,106,-9,4,2,3,3,4,3,3,3,2,5,5,4,4,3,5,"$4K-$5K avg; grab bars $100-$300; ramps $1.1K-$3.6K; stairlifts $3K-$18K; bathroom $3K-$25K","2-3 dedicated (Age-Proof Homes in S. Utah, Live in Place Designs, Lifeway Mobility); mostly handymen/GCs",No — no dedicated in-home-selling accessibility company on Wasatch Front,"Handyman exemption for <$3K; specialty license for larger work; licensed subs for plumbing/electrical","Strongest demographic tailwind: Utah 65+ grew 53% in decade. Only 10% of US homes are 'age-ready'. Very low competition. Emotional selling (family safety). Year-round demand","Margins only 20-30% (product-heavy: stairlifts, ramps are resale items). Most jobs $2K-$5K. Sales cycle involves multiple decision-makers (family, physicians, insurance). Insurance/VA billing complexity","MODERATE — Whole-home assessment identifies multiple mods. Could bundle stairlift + bathroom + ramp + grab bars for $15K-$25K packages for comprehensive aging-in-place","MIXED — strong emotional close (family safety) but low margins, multi-party decision-making, and insurance/VA billing complexity conflict with rapid one-call-close model","Utah 65+ population doubling as share by 2060. But strong family caregiving culture may reduce demand for professional services"
14,Garage Gym Build-out,Full Research,No,351,259,-92,141,106,-35,4,2,3,3,3,4,2,3,3,3,4,3,4,4,5,"$8K-$15K typical; advanced $15K-$30K","4-5 (Pro-Worx, Salt Lake Custom Builders, Dave Johnson, Equity Builders — all GCs)",No — no dedicated garage gym company exists; GCs serve this as add-on,R100 General Contractor (2+ years experience + 25-hr course); E100 electrical sub; S350 HVAC sub,"Utah's fitness culture + garage space + post-COVID home gym trend = real demand niche","Dissolved into general remodeling: requires R100 GC license (2+ yr experience), multi-trade coordination, 1-3 week timelines. Not a niche specialty — it's standard garage conversion. 25-35% margins","HIGH — Could be the 'vision' for Total Garage package: epoxy floor + org systems + gym features. But the gym portion is the GC-complexity part","POOR as standalone — this is general remodeling with a fitness theme, requiring GC license and multi-trade management. The 'niche' appeal is marketing, not operations","Utah's active lifestyle, large garages, fitness culture, large families all drive demand. But demand is captured by every GC already"
15,Battery Storage & Home Energy,Full Research (Triage Survivor),No,277,246,-31,116,106,-10,3,4,3,2,5,2,1,2,3,5,4,2,3,2,5,"$9K-$18K before incentives; net $6K-$16K after Wattsmart rebate","5-6 (ES Solar dominant, SunRidge Solar, Elite Electric, Intermountain Wind, Go Solar)","ES Solar has dominant Wattsmart partnership but not traditional in-home-selling franchise model",S202 Solar PV (NABCEP cert + 2 yrs experience + DOPL exams) — HIGH barrier,"Good job size range ($9K-$18K). 1-day physical install. Wattsmart program creates unique Utah demand channel. SolarEdge now manufacturing in SLC","THREE FATAL FLAWS: (1) IRA 30% tax credit expired Dec 2025 — no extension; (2) 2-4 month quote-to-activation timeline incompatible with one-call-close; (3) S202/NABCEP licensing + ~3% net margins make $100K startup impractical","LOW — EV charger + smart panel add-ons exist but each requires additional electrical work and permitting","TERRIBLE — multi-month sales cycle, licensed-trade barriers, expired federal incentive, and ES Solar's dominant position make this incompatible with independent in-home-selling startup","Rocky Mountain Power Wattsmart is a genuinely strong demand program (DOE best-in-class VPP). But ES Solar owns this channel with 200-500 installs/month"
16,Custom Shelving & Built-ins,Full Research,No,297,243,-54,122,94,-28,2,2,3,4,3,4,2,3,2,4,3,5,3,3,5,"$3K-$5K typical; whole-room $10K-$15K","8-10 (Closets by Design, California Closets, Tailored Closet, Inspired Closets, Clozetivity + locals)","YES — 5+ franchise brands all operate in-home design consultation model (same as closet org)","S220 Carpentry (25-hr course + 4000 hrs experience); S221 for cabinet install",Custom work commands premium; 40-60% gross margins on projects; year-round indoor demand,"MOST FRANCHISE-SATURATED category alongside closets: 5+ national brands + multiple locals. Skilled carpentry (4000 hrs experience) = massive scaling bottleneck. $3K-$5K typical ticket","MODERATE — Multi-room built-in packages (library + office + mudroom) could reach $10K-$15K but requires longer sales cycle","POOR — franchise saturation (Closets by Design has done this since 1982), skilled labor scarcity, and small tickets create triple obstacle","Remote work drives home office built-in demand. Utah's large homes have bonus rooms/lofts ideal for custom built-ins"
17,Outdoor Kitchen Construction,Full Research,No,292,235,-57,149,114,-35,3,4,4,2,2,2,2,2,4,2,4,2,5,2,2,"$16.4K avg (HomeAdvisor); mid-range $15K-$25K; luxury $35K-$50K+","6-8 (Outdoor Kitchen Concepts 15+ yrs, Patio Butler, SBI Waterfalls, Pitt Landscape + others)",No — no in-home-selling franchise; Outdoor Kitchen Concepts explored franchising but didn't scale,"GC license + licensed plumbing, gas, electrical subs; multi-permit required","Best job size alignment ($15K-$25K avg). Excellent upsell menu (pizza oven, fire pit, pergola). 9.1% market CAGR. Outdoor entertaining trend strong","Margins COLLAPSED in research: 25-35% gross (not 40-50%). Multi-trade complexity: masonry + plumbing + gas + electrical. 2-4 week install. Utah freeze-thaw winterization. 7-8 month season","MODERATE — Pairs with hardscape/patio for outdoor living packages but adds enormous operational complexity","POOR — the ticket size is right but everything else is wrong: multi-week timelines, multi-trade coordination, low margins, heavy permits, seasonal constraints","Utah's dry summers ideal for outdoor entertaining. BUT winter renders kitchens unusable 4-5 months; winterization costs $400-$800/yr"
18,Basement Walkouts / Retaining,Full Research,Yes,"227 (below 230 threshold, owner override)",234,+7,133,133,0,4,5,3,3,1,1,1,2,4,1,5,1,5,3,3,"$15K-$30K simple; $30K-$60K moderate; $60K-$100K+ complex. Avg ~$37K","1 dedicated specialist (Wasatch Walkout Basements) + 5-6 GCs who offer as add-on",No — Wasatch Walkout Basements is literally the only dedicated specialist in Utah,"S310 Foundation/Excavation/Demolition; structural PE stamp required; multi-permit","Strongest job size ($15K-$60K). Lowest competition (1 dedicated specialist). Highest upsell (walkout + finish + patio = $60K-$100K+). ADU/rental income narrative is compelling","Operationally disqualifying for Year 1: multi-week timelines, heavy equipment, foundation risk, structural engineering, 8-9 month season, 5+ person crews, complex permitting","HIGH — Walkout + basement finishing + patio = highest-ticket package possible ($60K-$100K+). But requires GC maturity to execute","NOT NOW — best 'grow-into' trade. Year 2-3 when company has capital, sub relationships, and project management capability. The demand and economics are exceptional but operations are too heavy for startup","Utah hillside geography = thousands of walkout candidates. ADU regulations loosening (SLC County June 2024). Basement apartments $900-$1.5K/mo rent. Housing affordability crisis = monetize basement"
19,Home Office Build-out,Full Research,No,318,233,-85,141,98,-43,4,2,3,2,2,3,2,2,3,3,5,3,3,4,5,"$5K-$22K; median $10K-$15K; simple $1.5K-$5K","4-5 (Pro-Worx, Salt Lake Custom Builders, Dave Johnson, AA Contractors — all GCs)",No — no dedicated home office company exists; every GC offers this,"R100 General Contractor (2+ years experience); E100 electrical sub; possibly S350 HVAC",Strongest demand tailwind of any trade: permanent remote/hybrid work shift + Silicon Slopes tech corridor,"Dissolved into general remodeling (like garage gym): R100 GC license, multi-trade, multi-week timelines, 25-35% margins. The demand is real but captured by every GC already","LOW — Home office is one room within a general remodel, not a standalone product","POOR — this is general contracting with a marketing angle, not a specialty trade. No operational advantage over existing GCs. Demand is real but not concentratable","Silicon Slopes has highest remote work adoption in Utah. Home office is top 2026 remodeling trend. But demand dispersed across entire GC market"
20,Basement Finishing,Full Research,Yes,242,228,-14,121,103,-18,1,5,3,3,1,2,2,3,4,2,5,1,5,3,5,"$35K-$65K for 1000 sqft in Utah; $25-$65+/sqft","12+ (My Basement, Utah Basement Finishing, Rockwell Homes, Allison Construction, many more)","Several competitors use in-home estimate model but this is a mature, saturated market",R100 General Contractor (2+ years experience) + licensed electrical/plumbing/HVAC subs; multi-permit,"MASSIVE Utah demand: nearly every home has unfinished basement. Best job size ($35K-$65K). 70% ROI. ADU conversion opportunity. Strongest upsell menu (bathroom, wet bar, theater, egress)","12+ entrenched competitors. 10-12 week project timelines. Multiple licensed subs required. Complex permitting (building, electrical, plumbing, mechanical). 25-35% GC margins","HIGH — Gateway to highest-value packages: finish + walkout + ADU conversion. But requires full GC infrastructure","POOR for in-home-selling model — 10-12 week timelines, multi-sub coordination, competitive market, and compressed GC margins conflict with rapid-turn high-margin model","Utah's basement culture is unmatched: nearly every home has an unfinished basement. Housing affordability + large families + ADU demand = strongest sustained demand of any trade"
21,Artificial Turf Installation,Quick Triage,No,289,Not re-scored,,105,Not re-scored,,3,3,3,3,4,4,4,4,3,4,5,5,3,3,3,"$6.5K-$10K avg for typical 500 sqft backyard","8+ (SYNLawn Utah, ForeverLawn, NexGen Lawns, Turf Impressions, Rocky Mountain Turf, XGrass, Grass!365)",Not specifically in-home-selling but multiple use free on-site estimate models,No specific license identified; low barrier,"Water conservation tailwind (drought restrictions, rebates). No permits typically required. Trainable in 1-2 weeks","Big4 gap +17 insurmountable. 8+ dedicated competitors. Avg $7K-$10K below sweet spot. Margins compressed by turf material cost","LOW — Standalone outdoor trade","DROPPED AT TRIAGE — Big4 economics can't reach threshold with 8+ competitors and below-sweet-spot tickets","Utah water conservation is a real tailwind; drought restrictions and rebate programs support demand"
22,Patio & Hardscape,Quick Triage,No,278,Not re-scored,,112,Not re-scored,,2,4,4,3,3,3,3,4,4,3,4,4,5,4,3,"$5K-$10K typical; larger $15K-$30K","10+ (Olympus 18+ yrs, Terraworks, Pitt 15+ yrs, Rhinos 10+ yrs, Frederico 42+ yrs, Big Rock + many more)",No dedicated in-home-selling franchise identified,Likely general contractor or specialty landscape license,"Good job size range at high end ($15K-$30K). Excellent upsell menu (fire pit, sitting walls, outdoor kitchen). Outdoor living trend strong","Saturated with entrenched players (some 40+ years). Thin margins (6.9-8.5% net). Most jobs $5K-$10K","MODERATE — Pairs with outdoor kitchen, lighting for outdoor living package","DROPPED AT TRIAGE — saturated market with established players, thin margins, and below-sweet-spot average tickets","Utah outdoor living trend strong but many established competitors have decades of local reputation"
23,Generator Installation,Quick Triage,No,276,Not re-scored,,115,Not re-scored,,4,3,3,3,5,3,1,4,4,5,4,2,2,3,5,"$8K-$12K typical for standby unit + install","6+ (Generator Supercenter, Mountain Home Services #1 Generac since 1954, JP Electrical, Jenco, Black Diamond, YES!)","Generac dealer network controls the market — must become authorized dealer to compete",Licensed electrician required (E100 or equivalent); Generac dealer authorization,"1-2 day install. 2-person crew. Year-round demand. $8K-$12K approaches viable range","Generac dealer network locks out independents. Utah has MINIMAL power outage frequency (0.01% of customers). No natural demand urgency. Licensed electrician required","LOW — Standalone product-focused trade","DROPPED AT TRIAGE — dealer-controlled market (Generac), low Utah outage demand, and licensed-trade barrier make independent startup impractical","Utah has very few power outages compared to states that drive generator demand (FL, TX, Northeast)"
24,Home Automation / Smart Home,Quick Triage,No,275,Not re-scored,,113,Not re-scored,,3,3,4,3,4,2,2,3,3,5,5,4,5,3,5,"$5K-$15K for whole-house; basic $2K-$5K","Vivint (HQ in Provo, 2M+ customers) + ADT + Alarm.com + Brinks + DIY ecosystem (Ring, Nest, Alexa)","Vivint IS the in-home-selling model — headquartered in Provo, UT with 2M+ customers and $2.8B acquisition by NRG",Low-voltage license for some work; varies by scope,"Strong tech adoption tailwind. Silicon Slopes demographics favorable. Endless upsell menu (cameras, lighting, thermostats, locks, shades, audio)","Vivint Smart Home is HEADQUARTERED IN PROVO UTAH with 2M+ customers. This is literally their home market. DIY ecosystem eroding professional install from below","LOW — Vivint bundled security + automation into a single subscription model that's hard to compete against","DROPPED AT TRIAGE — competing against Vivint on their home turf is the worst possible market entry. They have brand, scale, and a subscription model you can't match","Silicon Slopes tech culture drives smart home adoption. But Vivint's Provo HQ means Utah IS their most saturated market"
25,Foundation Repair,Quick Triage,No,269,Not re-scored,,122,Not re-scored,,3,4,3,4,4,2,2,4,4,4,3,2,3,3,4,"$10K-$20K avg for piering; $5K-$30K range","4-5 (Groundworks #1 in N. America since 1999, Ram Jack, Davenport/Foundation Supportworks, BASEco)","Groundworks uses inspection → engineered solution → in-home proposal model; Ram Jack uses dealer network",S310 Foundation/Excavation/Demolition; engineering assessments typically required,"Good job size ($10K-$20K). Big4 passes at 122. Urgency-driven sales (foundation = fear). 50-60% margins","Groundworks = North America's largest foundation company (83% 3-year growth), major Utah presence since 1999. +21 gap too large. Post-sale structural liability. Specialized piering crews needed","MODERATE — Waterproofing + foundation repair is a natural pairing (Groundworks already bundles these)","DROPPED AT TRIAGE — national franchises dominate, +21 total gap with structural weaknesses confirmed across post-sale risk, labor, and permitting","Utah's expansive clay soils create ongoing foundation issues. But Groundworks has served this market since 1999"
26,Earthquake Retrofitting,Quick Triage,No,258,Not re-scored,,117,Not re-scored,,5,3,2,3,4,2,2,3,3,4,4,2,2,4,5,"$5K-$15K for bolt/bracket retrofit","Essentially zero dedicated — a handful of structural engineers offer this",No — almost no companies exist in this space in Utah,Structural engineering + specialty construction license; engineering stamps required,"Nearly zero competition (score 5). Real seismic risk on Wasatch Fault. FEMA grants available (Fix the Bricks program)","No mandatory retrofit requirement = demand is entirely voluntary/awareness-driven. Fix the Bricks serves hundreds from 140K+ vulnerable structures. +32 gap requires paradigm shift","LOW — Niche structural trade that doesn't bundle with consumer-facing services","DROPPED AT TRIAGE — no mandatory requirement means marketing proactive demand is extremely difficult. Gap of +32 requires a market shift that doesn't exist yet","140K+ unreinforced masonry structures on Wasatch Front. Wasatch Fault is real. But no mandate = no urgency = almost no market"
27,Mold Removal / Remediation,Quick Triage,No,251,Not re-scored,,105,Not re-scored,,3,3,2,4,4,2,2,3,3,4,3,4,3,4,5,"$1.5K-$5K typical residential; avg $5K-$10K","6-8 (AEI Decon, Disaster Doctors, Pure Cleaning, Black Diamond 20+ yrs, Bio Clean, Pure Maintenance, PuroClean franchise)","PuroClean is a franchise but mold remediation is reactive/emergency — not in-home-selling compatible",IICRC certification required; specialized containment equipment,"40-50% margins on specialized work. Low material cost relative to perceived value. Steady demand from existing housing stock","Fundamentally REACTIVE/EMERGENCY trade — incompatible with proactive in-home selling (appointment setters calling homeowners). +39 gap insurmountable. Job sizes too small. Health liability exposure","LOW — Could pair with waterproofing for moisture prevention but mold itself is reactive","DROPPED AT TRIAGE — reactive trades cannot be sold proactively through appointment-setter models. Homeowners search for mold help AFTER discovering a problem, not before","Utah's semi-arid climate means less mold than humid states. Mostly triggered by water events, not ambient humidity"
